Category,Annual Mean,5-yr smooth
1901,24.26,24.38
1902,24.52,24.25
1903,23.96,24.13
1904,24.02,24.03
1905,23.87,23.96
1906,24.11,23.92
1907,23.97,23.92
1908,24.01,23.96
1909,23.92,24.02
1910,23.8,24.07
1911,24.14,24.12
1912,24.29,24.12
1913,23.98,24.11
1914,24.1,24.07
1915,24.5,24.04
1916,24.12,24.02
1917,23.47,24.04
1918,24.06,24.08
1919,24.1,24.15
1920,24.28,24.21
1921,24.54,24.26
1922,24.24,24.29
1923,24.24,24.28
1924,24.4,24.25
1925,23.94,24.21
1926,24.11,24.18
1927,24.01,24.15
1928,24.38,24.14
1929,24.21,24.15
1930,24.07,24.16
1931,24.44,24.17
1932,24.3,24.16
1933,23.83,24.14
1934,24,24.11
1935,24.05,24.08
1936,24.1,24.07
1937,23.98,24.08
1938,24.16,24.12
1939,24.2,24.19
1940,24.18,24.26
1941,24.91,24.33
1942,24.44,24.38
1943,24.14,24.39
1944,24.15,24.36
1945,23.92,24.32
1946,24.41,24.27
1947,24.5,24.23
1948,24.4,24.22
1949,24.23,24.24
1950,23.89,24.29
1951,24.4,24.34
1952,24.56,24.38
1953,24.77,24.41
1954,24.34,24.42
1955,24.14,24.41
1956,24.09,24.38
1957,24.15,24.35
1958,24.84,24.32
1959,24.39,24.28
1960,24.38,24.26
1961,24.02,24.24
1962,24.09,24.23
1963,24.24,24.24
1964,24.25,24.26
1965,24.33,24.28
1966,24.58,24.31
1967,24.18,24.33
1968,24.07,24.33
1969,24.65,24.31
1970,24.27,24.28
1971,23.81,24.24
1972,24.38,24.2
1973,24.5,24.19
1974,24.27,24.21
1975,23.97,24.26
1976,24.3,24.33
1977,24.45,24.4
1978,24.24,24.45
1979,24.7,24.48
1980,24.73,24.47
1981,24.37,24.45
1982,24.37,24.42
1983,24.13,24.4
1984,24.31,24.4
1985,24.6,24.43
1986,24.4,24.47
1987,24.82,24.52
1988,24.83,24.55
1989,24.25,24.56
1990,24.37,24.54
1991,24.46,24.5
1992,24.34,24.46
1993,24.58,24.42
1994,24.44,24.42
1995,24.59,24.46
1996,24.66,24.53
1997,24.18,24.61
1998,24.93,24.71
1999,24.82,24.79
2000,24.71,24.84
2001,24.88,24.87
2002,25.08,24.89
2003,24.85,24.9
2004,24.94,24.9
2005,24.7,24.92
2006,25,24.95
2007,25.01,24.98
2008,24.76,25.01
2009,25.47,25.03
2010,25.41,25.03
2011,24.82,25.02
2012,24.77,24.99
2013,24.64,24.96
2014,24.77,24.93
2015,24.89,24.92
2016,25.27,24.91
2017,25.15,24.92
2018,25,24.94
2019,24.94,24.96
2020,24.8,24.99
